Gender,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status,Application_Note
Male,Graduate,No,1969,0.0,247.0,0.0,Rural,N,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Not Graduate,No,1544,0.0,268.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,No,388,345.68207931,121.0,1.0,Semiurban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Male,Not Graduate,Yes,150,145.88032624,216.0,1.0,Semiurban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Female,Graduate,Yes,1691,32.04709092,103.0,1.0,Rural,N,Planning to expand my small business operations. Facing some financial stress currently.
Male,Graduate,No,3450,7.13614484,174.0,1.0,Rural,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,1271,0.0,249.0,1.0,Semiurban,N,Buying a new car for daily commute. I am very confident in repayment.
Male,Graduate,No,150,0.0,264.0,1.0,Semiurban,Y,Investment in a new startup opportunity. I am very confident in repayment.
Female,Graduate,No,3217,0.0,154.0,0.0,Rural,Y,I need to renovate my house immediately. I am very confident in repayment.
Male,Graduate,No,5081,0.0,217.0,1.0,Semiurban,N,Urgent medical expenses covered by loan. I might struggle slightly initially.
Male,Graduate,No,269,0.0,185.0,1.0,Rural,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,No,5387,0.0,169.0,1.0,Urban,N,Planning to expand my small business operations. I might struggle slightly initially.
Male,Graduate,Yes,876,891.26237982,255.0,1.0,Rural,Y,Investment in a new startup opportunity. I am very confident in repayment.
Female,Not Graduate,No,1540,0.0,183.0,1.0,Urban,Y,Planning to expand my small business operations. Business is booming right now.
Female,Graduate,Yes,7695,0.0,226.0,1.0,Urban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Graduate,Yes,1186,0.0,289.0,1.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,150,1724.554712,218.0,1.0,Rural,Y,Urgent medical expenses covered by loan. I am very confident in repayment.
Female,Graduate,No,4141,2227.92608992,196.0,0.0,Rural,Y,Urgent medical expenses covered by loan. Business is booming right now.
Female,Graduate,No,150,17.07987468,245.0,0.0,Urban,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.
Male,Graduate,No,4301,0.0,99.0,1.0,Semiurban,Y,I need to renovate my house immediately. Business is booming right now.
Male,Graduate,No,3356,33.00044494,88.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. I am very confident in repayment.
Female,Graduate,No,4382,139.77047015,170.0,1.0,Urban,N,Buying a new car for daily commute. I am very confident in repayment.
Female,Graduate,No,1474,0.0,127.0,1.0,Rural,N,I need to renovate my house immediately. Facing some financial stress currently.
Female,Not Graduate,No,150,2942.13035646,176.0,0.0,Semiurban,Y,Investment in a new startup opportunity. Facing some financial stress currently.
Female,Not Graduate,No,2276,232.43909696,68.0,1.0,Urban,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Not Graduate,No,2465,0.0,165.0,1.0,Urban,N,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,No,2050,0.0,60.0,1.0,Rural,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,3392,994.53413026,83.0,1.0,Rural,Y,Investment in a new startup opportunity. Facing some financial stress currently.
Male,Not Graduate,No,3796,0.0,204.0,1.0,Semiurban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,3002,3003.06046846,286.0,1.0,Rural,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.
Male,Graduate,No,226,0.0,152.0,1.0,Semiurban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Female,Not Graduate,No,9725,0.0,265.0,1.0,Urban,N,I need to renovate my house immediately. Facing some financial stress currently.
Female,Not Graduate,No,150,0.0,193.0,1.0,Semiurban,N,Buying a new car for daily commute. Facing some financial stress currently.
Female,Graduate,Yes,2658,0.0,205.0,1.0,Rural,Y,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,3522,0.0,97.0,0.0,Rural,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,5172,0.0,600.0,1.0,Rural,Y,I need to renovate my house immediately. Business is booming right now.
Male,Not Graduate,No,257,0.0,319.0,1.0,Rural,Y,Buying a new car for daily commute. I am very confident in repayment.
Male,Not Graduate,No,1037,0.0,253.0,1.0,Semiurban,N,Planning to expand my small business operations. I might struggle slightly initially.
Female,Graduate,No,16003,192.99907475,146.0,0.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Not Graduate,No,1545,455.53227991,228.0,1.0,Rural,N,Buying a new car for daily commute. Business is booming right now.
Male,Not Graduate,No,1574,0.0,290.0,0.0,Semiurban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Not Graduate,Yes,150,0.0,185.0,0.0,Rural,Y,Buying a new car for daily commute. Business is booming right now.
Male,Graduate,No,513,0.0,221.0,1.0,Urban,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,No,150,0.0,258.0,1.0,Urban,Y,Consolidating high-interest debts. I might struggle slightly initially.
Male,Graduate,No,4009,0.0,253.0,1.0,Rural,N,Investment in a new startup opportunity. I might struggle slightly initially.
Female,Not Graduate,No,937,1462.410968,146.0,0.0,Urban,N,Buying a new car for daily commute. I might struggle slightly initially.
Male,Not Graduate,No,3673,2100.21087699,215.0,1.0,Semiurban,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,Yes,3579,0.0,199.0,1.0,Rural,N,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,4567,0.0,322.0,1.0,Urban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Male,Graduate,No,6379,0.0,248.0,1.0,Urban,Y,Investment in a new startup opportunity. Facing some financial stress currently.
Male,Graduate,No,2565,0.0,169.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,No,358,1315.96354522,369.0,1.0,Urban,Y,Investment in a new startup opportunity. I am very confident in repayment.
Female,Graduate,Yes,150,0.0,237.0,1.0,Urban,N,Consolidating high-interest debts. I might struggle slightly initially.
Female,Graduate,Yes,1945,3228.11761241,243.0,1.0,Urban,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Graduate,Yes,3263,430.78164246,304.0,1.0,Rural,Y,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,No,3696,0.0,194.0,1.0,Semiurban,Y,I need to renovate my house immediately. I might struggle slightly initially.
Male,Graduate,No,184,0.0,243.0,1.0,Semiurban,N,Urgent medical expenses covered by loan. I might struggle slightly initially.
Male,Graduate,No,747,0.0,83.0,1.0,Semiurban,Y,Urgent medical expenses covered by loan. Facing some financial stress currently.
Male,Not Graduate,No,2988,0.0,226.0,1.0,Semiurban,N,Buying a new car for daily commute. I might struggle slightly initially.
Female,Graduate,No,1449,0.0,107.0,1.0,Semiurban,N,Planning to expand my small business operations. Business is booming right now.
Male,Graduate,No,150,0.0,281.0,0.0,Rural,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,475,0.0,241.0,1.0,Semiurban,N,Consolidating high-interest debts. I am very confident in repayment.
Male,Not Graduate,No,7053,0.0,82.0,1.0,Semiurban,N,Buying a new car for daily commute. I am very confident in repayment.
Male,Not Graduate,No,4845,1453.33152103,91.0,0.0,Semiurban,Y,Buying a new car for daily commute. Facing some financial stress currently.
Male,Graduate,No,3583,0.0,101.0,0.0,Semiurban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,Yes,150,4738.53661387,212.0,0.0,Semiurban,Y,Urgent medical expenses covered by loan. I might struggle slightly initially.
Female,Graduate,No,150,614.07254442,195.0,1.0,Rural,Y,Planning to expand my small business operations. I am very confident in repayment.
Male,Graduate,No,1421,0.0,244.0,0.0,Rural,N,Investment in a new startup opportunity. Facing some financial stress currently.
Male,Graduate,No,150,152.127835,265.0,0.0,Rural,Y,Urgent medical expenses covered by loan. Business is booming right now.
Male,Not Graduate,Yes,150,0.0,141.0,1.0,Urban,Y,I need to renovate my house immediately. Facing some financial stress currently.
Male,Not Graduate,No,1702,0.0,192.0,1.0,Urban,N,Planning to expand my small business operations. Business is booming right now.
Male,Graduate,No,1123,340.91522522,79.0,1.0,Urban,Y,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,Yes,6548,0.0,229.0,1.0,Semiurban,Y,Buying a new car for daily commute. I might struggle slightly initially.
Female,Not Graduate,No,1299,0.0,131.0,1.0,Urban,N,Urgent medical expenses covered by loan. Business is booming right now.
Male,Graduate,Yes,1607,174.7107864,368.0,1.0,Rural,Y,Planning to expand my small business operations. Facing some financial stress currently.
Female,Graduate,No,11949,0.0,227.0,1.0,Rural,Y,Consolidating high-interest debts. I am very confident in repayment.
Male,Not Graduate,No,1083,2197.28911369,250.0,1.0,Rural,N,Consolidating high-interest debts. Facing some financial stress currently.
Male,Graduate,No,2006,0.0,109.0,1.0,Urban,Y,Planning to expand my small business operations. I am very confident in repayment.
Female,Graduate,No,1622,0.0,236.0,1.0,Urban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Not Graduate,No,3890,247.76893489,234.0,1.0,Rural,N,Investment in a new startup opportunity. I might struggle slightly initially.
Male,Graduate,No,6902,0.0,220.0,1.0,Semiurban,Y,Consolidating high-interest debts. Facing some financial stress currently.
Male,Not Graduate,No,3884,0.27747384,228.0,1.0,Urban,Y,I need to renovate my house immediately. I might struggle slightly initially.
Male,Not Graduate,No,1200,0.0,108.0,1.0,Semiurban,N,Investment in a new startup opportunity. I am very confident in repayment.
Male,Graduate,Yes,5026,69.28204095,174.0,1.0,Rural,Y,Planning to expand my small business operations. I might struggle slightly initially.
Female,Graduate,No,1102,0.0,83.0,0.0,Rural,Y,I need to renovate my house immediately. I might struggle slightly initially.
Male,Graduate,No,7389,296.590141,208.0,1.0,Urban,Y,Buying a new car for daily commute. I am very confident in repayment.
Male,Graduate,No,150,262.54257974,171.0,1.0,Urban,Y,Investment in a new startup opportunity. I am very confident in repayment.
Female,Graduate,No,925,0.0,377.0,0.0,Semiurban,Y,Investment in a new startup opportunity. Business is booming right now.
