Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Loan_Status,Application_Note,TotalIncome,LoanIncomeRatio,HasCreditHistory,Note_Length,Risk_Keyword_Flag,Gender_Male,Education_Not Graduate,Employment_Type_Self_Employed,Property_Area_Semiurban,Property_Area_Urban,IncomeLevel_Medium,IncomeLevel_High,IncomeLevel_Very High
No,1969,0.0,247.0,0.0,N,Urgent medical expenses covered by loan. Facing some financial stress currently.,1969.0,0.12538071065989848,0,80,1,True,False,False,False,False,False,False,False
No,1544,0.0,268.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,1544.0,0.17346278317152103,1,71,1,True,True,False,True,False,False,False,False
No,388,345.68207931,121.0,1.0,Y,Buying a new car for daily commute. I might struggle slightly initially.,733.6820793100001,0.16469708926838256,1,72,1,True,False,False,True,False,False,False,False
Yes,150,145.88032624,216.0,1.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,295.88032624,0.7275658940949297,1,80,0,True,True,True,True,False,False,False,False
Yes,1691,32.04709092,103.0,1.0,N,Planning to expand my small business operations. Facing some financial stress currently.,1723.04709092,0.059743147703138606,1,88,0,False,False,True,False,False,False,False,False
No,3450,7.13614484,174.0,1.0,Y,Planning to expand my small business operations. I am very confident in repayment.,3457.13614484,0.050316121954779365,1,82,0,True,False,False,False,False,True,False,False
No,1271,0.0,249.0,1.0,N,Buying a new car for daily commute. I am very confident in repayment.,1271.0,0.1957547169811321,1,69,0,True,False,False,True,False,False,False,False
No,150,0.0,264.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,150.0,1.7483443708609272,1,74,0,True,False,False,True,False,False,False,False
No,3217,0.0,154.0,0.0,Y,I need to renovate my house immediately. I am very confident in repayment.,3217.0,0.04785581106277191,0,74,0,False,False,False,False,False,True,False,False
No,5081,0.0,217.0,1.0,N,Urgent medical expenses covered by loan. I might struggle slightly initially.,5081.0,0.04269972451790634,1,77,1,True,False,False,True,False,False,True,False
No,269,0.0,185.0,1.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,269.0,0.6851851851851852,1,71,1,True,False,False,False,False,False,False,False
No,5387,0.0,169.0,1.0,N,Planning to expand my small business operations. I might struggle slightly initially.,5387.0,0.031365998515219005,1,85,1,True,False,False,False,True,False,True,False
Yes,876,891.26237982,255.0,1.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,1767.26237982,0.14420936785747696,1,74,0,True,False,True,False,False,False,False,False
No,1540,0.0,183.0,1.0,Y,Planning to expand my small business operations. Business is booming right now.,1540.0,0.11875405580791694,1,79,0,False,True,False,False,True,False,False,False
